01 11 03;1;" ";01;11;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;SACC-13/6;17.000000000;SACCHETTIKBM 40GR 22X44 CRAI
01 11 04;1;" ";01;11;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 12 01;1;" ";01;12;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;PARA-007/24;81.000000000;CARTA POLITENATA GR. 45+PE - ST. MACELLERIA FORMATO 33X40 (PACCO DA 15 KG.)
01 12 02;1;" ";01;12;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;;0.000000000;
01 12 03;1;" ";01;12;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;PARA-007/14;45.000000000;CARTA POLITENATA GR. 45+PE - ST. GENERICA FORMATO 33X40 (PACCO DA 15 KG.)
01 12 04;1;" ";01;12;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;SACC-053;44.000000000;SACCHETTI DI CARTA SE VELEN 14X34-15X34 DISP.1000 PZ.
01 13 01;1;" ";01;13;01;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;PARA-007/25;525.000000000;CARTA POLITENATA GR. 45+PE - ST. MACELLERIA FORMATO 37X50 (PACCO DA 15 KG.)
01 13 02;1;" ";01;13;02;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;POLI-001/17;30.000000000;POLIPROPILENE - FOGLI PP FORMATO 75X100 (PACCO DA 10 KG.)
01 13 03;1;" ";01;13;03;" ";P;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;PARA-011/32;146.000000000;CARTA VEGETALE  GR.60  FORMATO 40X60 (PACCO DA 15 KG)
01 13 04;1;" ";01;13;04;" ";S;0.000000000;0.000000000;0.000000000;S;" ";N;NULL;5;SACC-028/415;24.000000000;SACCHETTO ANTIGRASSO AVANA GR. 38/40 12X27 GIRELLA CF. 1000 PEZZI
